Date,Open,High,Low,Close,Adj Close,Volume
2011-11-22,21.435045,21.472811,21.148035,21.208460,9.476131,49514290
2011-11-23,21.132931,21.155588,20.785498,20.808157,9.297268,40018430
2011-11-25,20.770393,20.936556,20.702417,20.702417,9.250026,15936723
2011-11-28,21.087612,21.231117,20.966766,21.110271,9.432255,32069134
2011-11-29,21.155588,21.359516,21.132931,21.193354,9.469378,24059463
2011-11-30,21.578550,21.888218,21.570997,21.888218,9.779848,44269529
2011-12-01,21.850452,21.865559,21.654079,21.782476,9.732609,28916690
2011-12-02,21.895769,21.993958,21.805136,21.873112,9.773102,29346460
2011-12-05,22.031721,22.129910,21.895769,22.016617,9.837221,28945288
2011-12-06,22.039274,22.145016,21.948641,22.031721,9.843970,22535407
2011-12-07,22.009064,22.205439,21.888218,22.205439,9.921588,54021848
2011-12-08,22.077040,22.084593,21.759819,21.797583,9.739356,29880297
2011-12-09,21.963745,21.978851,21.752266,21.925982,9.796723,32249330
2011-12-12,21.918428,21.963745,21.842899,21.910875,9.789973,34153772
2011-12-13,21.948641,22.092146,21.865559,21.933535,9.800098,29004074
2011-12-14,21.910875,22.046827,21.737160,21.759819,9.722482,30023156
2011-12-15,21.895769,21.918428,21.684290,21.744713,9.715734,34224076
2011-12-16,21.563444,21.790030,21.533234,21.790030,9.735977,59486393
2011-12-19,21.888218,21.948641,21.638973,21.706949,9.698858,25176390
2011-12-20,21.782476,22.024170,21.729607,21.993958,9.827097,44495933
2011-12-21,22.016617,22.129910,21.925982,22.129910,9.887844,36556037
2011-12-22,22.235649,22.522659,22.129910,22.401814,10.009333,40174132
2011-12-23,22.447130,22.643505,22.447130,22.560423,10.080195,24006106
2011-12-27,22.598186,22.779455,22.537764,22.688822,10.137568,21796085
2011-12-28,22.696375,22.779455,22.590633,22.620846,10.107196,22120995
2011-12-29,22.696375,22.802114,22.620846,22.787008,10.181436,23497690
2011-12-30,22.734138,22.885197,22.719032,22.839878,10.205063,20770647
2012-01-03,23.006042,23.066465,22.885197,22.945620,10.252306,43699017
2012-01-04,23.096678,23.172205,22.922960,22.983383,10.269180,49271204
2012-01-05,23.028702,23.036255,22.794561,22.960726,10.259054,45621068
2012-01-06,22.711479,22.726585,22.356495,22.416918,10.211766,60348979
